Modes	Outlets	Supercatchment	StreamID
204	813	1	2
240	520	1	3
386	758	1	3
663	825	1	3
506	825	1	4
610	852	1	4
388	589	1	6
595	709	1	6
336	592	1	7
528	801	1	7
331	600	1	9
486	748	1	9
315	789	1	12
309	877	1	13
786	979	1	13
903	1053	1	13
1041	1173	1	13
293	549	1	14
465	619	1	14
647	733	1	14
315	737	1	15
344	655	1	17
457	856	1	17
695	928	1	17
928	1008	1	17
398	824	1	19
580	871	1	19
298	684	1	21
621	938	1	21
1041	1139	1	21
541	711	1	22
434	768	1	22
640	865	1	22
819	1047	1	22
387	965	1	23
247	1118	1	23
648	1205	1	23
984	1313	1	23
229	613	1	25
440	615	1	25
656	832	1	25
862	898	1	25
423	776	1	26
310	872	1	26
709	895	1	26
848	1027	1	26
969	1105	1	26
304	854	1	27
887	1110	1	27
192	1008	1	29
421	1013	1	29
780	1197	1	29
1038	1251	1	29
195	1008	1	31
326	1188	1	31
479	1229	1	31
1200	1491	1	31
320	781	1	32
466	842	1	32
446	683	1	33
619	877	1	33
247	1118	1	33
463	932	1	34
791	1036	1	34
303	1128	1	34
298	1127	1	35
570	1202	1	35
1123	1433	1	35
486	1070	1	36
247	1118	1	36
1094	1190	1	36
1206	1267	1	36
226	620	1	37
500	724	1	37
628	871	1	37
355	884	1	37
833	1048	1	37
513	864	1	38
895	1012	1	38
247	1118	1	38
250	1118	1	39
431	1331	1	39
1232	1465	1	39
1398	1527	1	39
491	842	1	40
670	958	1	40
884	1053	1	40
247	1118	1	40
589	811	1	43
247	1118	1	43
250	1118	1	45
512	1210	1	45
1035	1469	1	45
1457	1561	1	45
332	781	1	46
517	872	1	46
763	1107	1	46
529	805	1	49
694	962	1	49
284	1118	1	49
394	1211	1	49
247	1118	1	50
548	1272	1	50
1259	1489	1	50
226	620	1	52
544	786	1	52
355	884	1	52
989	1286	1	52
1193	1371	1	52
332	781	1	53
754	958	1	53
544	1001	1	53
987	1092	1	53
332	781	1	54
603	1135	1	54
840	1199	1	54
410	977	1	55
906	1048	1	55
247	1118	1	55
596	795	1	57
725	863	1	57
247	1118	1	57
383	1135	1	57
226	620	1	58
355	884	1	58
816	1254	1	58
247	1118	1	59
565	1123	1	59
1007	1432	1	59
1335	1495	1	59
536	680	1	60
698	994	1	60
247	1118	1	60
1049	1180	1	60
410	1208	1	60
625	815	1	62
729	891	1	62
891	1028	1	62
247	1118	1	62
386	1135	1	62
226	620	1	63
598	865	1	63
355	884	1	63
584	949	1	65
273	1118	1	65
819	1184	1	65
412	1211	1	65
350	617	1	66
219	619	1	66
580	1094	1	66
993	1213	1	66
1101	1386	1	66
1391	1493	1	66
359	618	1	67
226	620	1	67
706	992	1	67
921	1179	1	67
1024	1232	1	67
226	620	1	68
384	910	1	68
623	958	1	68
502	1203	1	68
884	1298	1	68
1173	1303	1	68
628	932	1	70
738	969	1	70
413	980	1	70
247	1118	1	70
926	1137	1	70
650	950	1	71
869	1052	1	71
247	1118	1	71
1028	1147	1	71
1181	1312	1	71
247	1118	1	72
650	1165	1	72
396	1209	1	72
1175	1332	1	72
1355	1526	1	72
647	867	1	73
247	1118	1	73
410	1208	1	73
1045	1303	1	73
615	945	1	74
808	1034	1	74
247	1118	1	74
1099	1354	1	74
515	1093	1	75
247	1118	1	75
831	1181	1	75
396	1208	1	75
1116	1472	1	75
1409	1597	1	75
1542	1763	1	75
760	1113	1	76
247	1118	1	76
412	1209	1	76
968	1224	1	76
1126	1319	1	76
703	965	1	77
247	1118	1	77
945	1192	1	77
1127	1335	1	77
1252	1440	1	77
412	980	1	78
836	1022	1	78
624	1078	1	78
247	1118	1	78
722	1073	1	81
247	1118	1	81
851	1311	1	81
1092	1411	1	81
1328	1471	1	81
579	948	1	84
247	1118	1	84
711	1387	1	84
1069	1622	1	84
1221	2107	1	84
2110	2324	1	84
2387	2469	1	84
729	1000	1	85
247	1118	1	85
396	1209	1	85
971	1429	1	85
1361	1509	1	85
273	1118	1	86
482	1511	1	86
760	1588	1	86
1262	1777	1	86
740	955	1	87
960	1069	1	87
250	1118	1	87
508	1211	1	87
247	1118	1	88
774	1201	1	88
512	1213	1	88
984	1348	1	88
1243	1563	1	88
1371	1659	1	88
508	1083	1	93
273	1118	1	93
1432	1801	1	93
790	1819	1	93
1568	1927	1	93
1671	2042	1	93
509	1080	1	94
250	1118	1	94
767	1476	1	94
1162	1578	1	94
1595	1896	1	94
1768	2052	1	94
410	979	1	95
770	1070	1	95
247	1118	1	95
958	1191	1	95
1090	1289	1	95
221	619	1	96
354	884	1	96
824	1091	1	96
587	1264	1	96
1182	1464	1	96
1391	1557	1	96
247	1118	1	97
575	1135	1	97
413	1209	1	97
221	613	1	98
379	909	1	98
509	1204	1	98
871	1444	1	98
410	979	1	99
247	1118	1	99
686	1173	1	99
1007	1346	1	99
1139	1547	1	99
1665	1842	1	99
410	979	1	100
247	1118	1	100
686	1173	1	100
1270	1348	1	100
273	1118	1	101
582	1135	1	101
893	1216	1	101
1179	1413	1	101
273	1118	1	102
559	1530	1	102
247	1118	1	103
856	1369	1	103
568	1530	1	103
1183	1549	1	103
1351	1704	1	103
247	1118	1	104
891	1207	1	104
412	1209	1	104
1206	1371	1	104
1469	1540	1	104
221	619	1	105
357	885	1	105
855	1201	1	105
595	1264	1	105
247	1118	1	107
396	1170	1	107
867	1523	1	107
221	619	1	109
438	1057	1	109
703	1160	1	109
914	1261	1	109
1045	1453	1	109
1578	1664	1	109
221	619	1	110
438	1057	1	110
703	1160	1	110
1022	1431	1	110
889	1452	1	110
247	1118	1	111
396	1170	1	111
883	1233	1	111
1193	1500	1	111
1373	1579	1	111
221	619	1	112
438	1057	1	112
675	1341	1	112
221	619	1	113
436	1057	1	113
699	1365	1	113
961	1382	1	113
250	1118	1	114
511	1209	1	114
953	1551	1	114
1113	1605	1	114
219	613	1	115
403	911	1	115
502	1204	1	115
1105	1372	1	115
1367	1529	1	115
221	614	1	116
407	909	1	116
512	1204	1	116
247	1118	1	117
396	1208	1	117
1097	1460	1	117
1299	1557	1	117
985	1590	1	117
250	1118	1	120
508	1170	1	120
924	1218	1	120
1187	1326	1	120
240	1118	1	123
504	1170	1	123
963	1381	1	123
1145	1490	1	123
1324	1651	1	123
579	948	1	124
240	1118	1	124
709	1415	1	124
961	1480	1	124
1220	1682	1	124
273	1118	1	125
503	1211	1	125
635	1362	1	125
987	1556	1	125
273	1118	1	126
503	1212	1	126
614	1362	1	126
992	1598	1	126
1458	1785	1	126
273	1118	1	127
503	1212	1	127
996	1574	1	127
1174	1716	1	127
247	1118	1	128
410	1208	1	128
240	1024	1	129
503	1177	1	129
888	1408	1	129
250	1118	1	130
580	1135	1	130
1078	1428	1	130
247	1118	1	131
568	1135	1	131
1101	1274	1	131
1256	1394	1	131
404	980	1	132
240	1024	1	132
649	1211	1	132
1040	1685	1	132
1739	1878	1	132
273	1118	1	133
503	1175	1	133
888	1408	1	133
1021	1732	1	133
1514	1861	1	133
1800	2040	1	133
273	1118	1	134
1201	1562	1	134
1508	1784	1	134
1688	1937	1	134
709	2045	1	134
273	1118	1	135
503	1212	1	135
635	1362	1	135
1174	1591	1	135
1388	1628	1	135
586	948	1	136
273	1118	1	136
687	1387	1	136
482	1511	1	136
1309	1707	1	136
1845	2110	1	136
240	1024	1	137
505	1097	1	137
966	1653	1	137
505	1097	1	138
273	1118	1	138
1663	1872	1	138
1101	1961	1	138
1768	2000	1	138
240	1118	1	139
503	1212	1	139
938	1692	1	139
250	1118	1	140
511	1209	1	140
1112	1644	1	140
928	1692	1	140
250	1118	1	141
511	1209	1	141
1080	1282	1	141
1186	1558	1	141
1482	1670	1	141
240	1024	1	142
503	1211	1	142
1069	1536	1	142
1529	1645	1	142
221	619	1	143
354	884	1	143
588	1264	1	143
1345	1542	1	143
980	1555	1	143
240	1118	1	144
1114	1588	1	144
1403	1811	1	144
1632	2021	1	144
709	2045	1	144
2049	2188	1	144
273	1118	1	145
503	1212	1	145
614	1362	1	145
1362	1467	1	145
1489	1597	1	145
247	1118	1	146
511	1212	1	146
616	1362	1	146
240	1024	1	147
1122	1681	1	147
875	1750	1	147
994	1860	1	147
1507	1881	1	147
1690	2041	1	147
709	2045	1	147
1975	2119	1	147
404	980	1	148
250	1118	1	148
686	1211	1	148
1214	1894	1	148
1807	2082	1	148
1937	2152	1	148
2174	2244	1	148
404	980	1	149
273	1118	1	149
637	1211	1	149
1151	1743	1	149
1487	1769	1	149
1649	1974	1	149
219	619	1	150
352	884	1	150
608	1265	1	150
963	1513	1	150
1327	1730	1	150
1552	1798	1	150
250	1118	1	151
508	1209	1	151
847	1627	1	151
1625	1845	1	151
221	619	1	152
353	884	1	152
608	1265	1	152
974	1555	1	152
219	619	1	153
352	884	1	153
608	1265	1	153
974	1555	1	153
1307	1685	1	153
1668	1854	1	153
582	948	1	154
273	1118	1	154
687	1387	1	154
1181	1459	1	154
1075	1622	1	154
1330	1622	1	154
1742	2069	1	154
1951	2169	1	154
248	1118	1	155
503	1170	1	155
880	1408	1	155
1039	1834	1	155
1218	1901	1	155
1778	1983	1	155
1965	2074	1	155
250	1118	1	156
508	1170	1	156
871	1408	1	156
1210	1696	1	156
1313	1798	1	156
1052	1833	1	156
248	1118	1	157
579	1571	1	157
680	2042	1	157
2076	2273	1	157
2213	2465	1	157
2411	2597	1	157
240	1024	1	158
581	1571	1	158
867	1750	1	158
993	1860	1	158
686	2045	1	158
1274	2146	1	158
240	1024	1	159
581	1571	1	159
867	1750	1	159
992	1860	1	159
686	2045	1	159
1404	2113	1	159
1578	2245	1	159
2198	2476	1	159
2564	2569	1	159
240	1024	1	160
581	1571	1	160
680	2042	1	160
1762	2156	1	160
1970	2497	1	160
2588	2733	1	160
248	1118	1	161
579	1571	1	161
680	2039	1	161
1966	2195	1	161
273	1118	1	162
503	1212	1	162
763	1434	1	162
1148	1574	1	162
868	1627	1	162
1348	1862	1	162
1750	1986	1	162
273	1118	1	163
508	1211	1	163
766	1434	1	163
1128	1574	1	163
868	1627	1	163
1307	1760	1	163
1777	2093	1	163
579	948	1	164
248	1118	1	164
704	1387	1	164
1062	1622	1	164
1211	2106	1	164
2104	2324	1	164
2387	2469	1	164
582	948	1	165
240	1024	1	165
711	1387	1	165
1069	1622	1	165
1377	2052	1	165
1224	2106	1	165
248	1118	1	166
579	1571	1	166
860	1750	1	166
986	1860	1	166
1268	1938	1	166
680	2042	1	166
1598	2230	1	166
1773	2527	1	166
240	1024	1	167
581	1571	1	167
867	1750	1	167
993	1860	1	167
1276	1944	1	167
686	2045	1	167
1611	2161	1	167
1933	2376	1	167
2295	2565	1	167
240	1024	1	168
581	1571	1	168
889	1750	1	168
993	1860	1	168
1276	1944	1	168
1611	1966	1	168
709	2045	1	168
1903	2134	1	168
248	1118	1	169
579	1571	1	169
680	2025	1	169
1619	2287	1	169
1985	2392	1	169
240	1118	1	170
581	1571	1	170
682	2021	1	170
248	1118	1	171
579	1571	1	171
1753	1958	1	171
680	2021	1	171
1906	2364	1	171
2447	2524	1	171
208	1095	2	2
759	1101	2	2
1140	1235	2	2
341	670	2	4
664	871	2	4
762	986	2	4
916	1055	2	4
1067	1367	2	4
354	718	2	5
453	1076	2	5
360	1153	2	6
923	1377	2	6
450	805	2	8
902	1466	2	8
1481	1661	2	8
444	1169	2	9
204	1444	2	9
762	1495	2	9
512	1395	2	11
194	1443	2	11
925	1609	2	11
1394	1709	2	11
1711	1822	2	11
515	860	2	12
781	1183	2	12
1085	1393	2	12
526	1018	2	13
985	1348	2	13
530	1270	2	14
1000	1405	2	14
204	1443	2	14
1100	1202	2	15
560	1301	2	15
227	1403	2	15
252	1403	2	16
1208	1860	2	16
204	1444	2	17
629	1444	2	17
1183	1560	2	17
1366	1670	2	17
1563	1705	2	17
490	811	2	18
652	863	2	18
887	1404	2	18
585	1214	2	19
204	1443	2	19
564	1079	2	20
697	1267	2	20
897	1423	2	20
194	1443	2	20
648	1061	2	23
194	1442	2	23
807	1472	2	23
1112	1584	2	23
1244	1656	2	23
1527	1836	2	23
726	971	2	24
891	1171	2	24
194	1441	2	24
194	1442	2	27
715	1604	2	27
1233	1830	2	27
1332	1915	2	27
1915	2046	2	27
778	1238	2	28
194	1442	2	28
1191	1588	2	28
1386	1694	2	28
1519	1849	2	28
812	1132	2	29
1104	1212	2	29
204	1421	2	29
852	1286	2	31
1241	1408	2	31
194	1441	2	31
1343	1509	2	31
1503	1633	2	31
1612	1738	2	31
938	1140	2	36
204	1406	2	36
957	1436	2	39
194	1441	2	39
763	1510	2	39
1217	1663	2	39
1622	1997	2	39
952	1257	2	40
1054	1302	2	40
194	1442	2	40
1163	1481	2	40
763	1510	2	40
1343	1717	2	40
1570	1976	2	40
194	1442	2	41
894	1598	2	41
1303	1784	2	41
1434	2002	2	41
1894	2249	2	41
2270	2333	2	41
974	1418	2	42
194	1442	2	42
1253	1851	2	42
1562	2080	2	42
194	1391	2	43
194	1406	2	44
931	1499	2	44
1555	1681	2	44
194	1421	2	45
1072	1422	2	45
194	1442	2	48
1107	1453	2	48
769	1510	2	48
1441	1798	2	48
1574	1879	2	48
1787	2033	2	48
2015	2101	2	48
194	1442	2	52
712	1603	2	52
1099	1666	2	52
1202	1817	2	52
1351	1899	2	52
194	1406	2	53
928	1507	2	53
1213	1660	2	53
1709	1861	2	53
194	1442	2	54
712	1602	2	54
1099	1664	2	54
1435	1757	2	54
1560	1841	2	54
194	1441	2	55
763	1486	2	55
1274	1812	2	55
1826	1924	2	55
194	1422	2	56
1155	1462	2	56
1469	1718	2	56
194	1421	2	57
1135	1453	2	57
1421	1561	2	57
1524	1672	2	57
1679	1749	2	57
194	1405	2	58
1111	1513	2	58
1339	1724	2	58
1518	1803	2	58
1700	1936	2	58
1924	2067	2	58
194	1405	2	59
1097	1512	2	59
1538	1670	2	59
194	1406	2	60
928	1507	2	60
1238	1610	2	60
1762	1872	2	60
194	1406	2	61
922	1507	2	61
1281	1760	2	61
1668	2115	2	61
900	1311	2	62
194	1442	2	62
769	1510	2	62
1339	1601	2	62
891	1311	2	63
194	1442	2	63
1295	1503	2	63
763	1510	2	63
1432	1639	2	63
194	1405	2	64
194	1405	2	65
1360	1789	2	65
1795	1965	2	65
194	1441	2	66
1333	1494	2	66
778	1510	2	66
1113	1604	2	66
1313	1417	2	67
194	1441	2	67
778	1510	2	67
1113	1604	2	67
194	1442	2	69
763	1510	2	69
1101	1605	2	69
1409	1635	2	69
194	1442	2	70
1354	1498	2	70
763	1510	2	70
1125	1605	2	70
1536	1654	2	70
194	1442	2	71
772	1509	2	71
1107	1604	2	71
1505	1632	2	71
194	1441	2	73
763	1510	2	73
1141	1604	2	73
1400	1691	2	73
194	1442	2	80
765	1510	2	80
1121	1605	2	80
1403	1677	2	80
1716	1823	2	80
194	1442	2	81
763	1510	2	81
1366	1530	2	81
1107	1604	2	81
1520	1790	2	81
