Outlets	Modes	Supercatchment	StreamID
244	647	38	7
468	883	38	7
709	1053	38	7
930	1164	38	7
247	475	38	8
353	644	38	8
480	679	38	8
317	406	38	9
286	694	38	10
600	1014	38	10
707	1094	38	10
879	1357	38	10
503	964	38	11
815	1140	38	11
1283	1291	38	11
491	953	38	12
597	1007	38	12
696	1275	38	12
805	1362	38	12
1087	1556	38	12
1191	1685	38	12
1505	1959	38	12
1597	2062	38	12
281	1103	38	13
484	1239	38	13
921	1597	38	13
1060	1705	38	13
1363	2075	38	13
1461	2172	38	13
1578	2235	38	13
283	1088	38	16
1025	1440	38	16
698	1259	38	17
1457	1904	38	17
1240	1909	38	17
1613	2123	38	17
1804	2257	38	17
803	1271	38	18
1091	1696	38	18
1591	2125	38	18
1836	2253	38	18
278	1088	38	19
691	1995	38	19
1608	2174	38	19
281	1088	38	20
1001	1694	38	20
691	1995	38	20
1331	2202	38	20
204	1913	38	21
1844	1918	38	21
534	2297	38	21
204	1913	38	22
534	2269	38	22
1942	2343	38	22
2225	2664	38	22
204	1913	38	23
1204	2301	38	23
1460	2574	38	23
204	1913	38	24
1659	2255	38	24
1277	2301	38	24
1868	2478	38	24
2492	2584	38	24
204	1913	38	25
1239	2301	38	25
1510	2419	38	25
1926	2551	38	25
2371	2666	38	25
204	1913	38	26
1657	2293	38	26
1277	2301	38	26
1530	2420	38	26
