Modes	Outlets	Supercatchment	StreamID
204	592	1	2
446	948	1	2
814	1074	1	2
1100	1240	1	2
208	790	1	3
681	908	1	3
204	790	1	4
396	1001	1	4
979	1181	1	4
208	784	1	5
460	953	1	5
998	1210	1	5
204	780	1	6
684	1032	1	6
997	1187	1	6
1156	1251	1	6
224	610	2	2
637	821	2	2
742	893	2	2
283	481	2	5
668	736	2	5
261	711	2	6
221	728	2	7
339	821	2	7
580	910	2	7
692	965	2	7
794	1055	2	7
1007	1171	2	7
221	733	2	8
891	1010	2	8
212	574	3	4
634	818	3	4
839	920	3	4
205	558	3	5
336	799	3	5
705	1146	3	5
316	807	3	6
562	1035	3	6
826	1167	3	6
1070	1264	3	6
226	581	4	2
396	860	4	2
717	1006	4	2
241	566	4	3
545	1016	4	3
176	591	4	4
415	769	4	4
784	952	4	4
263	641	4	5
819	1048	4	5
945	1081	4	5
212	600	5	2
699	811	5	2
211	723	5	3
318	755	5	3
501	896	5	3
609	1029	5	3
927	1133	5	3
1087	1316	5	3
1293	1349	5	3
216	702	5	4
556	840	5	4
744	955	5	4
991	1139	5	4
261	648	6	4
403	858	6	4
643	1029	6	4
774	1080	6	4
994	1131	6	4
233	463	6	6
267	409	6	8
368	507	6	8
347	449	6	10
306	389	6	16
467	561	6	16
233	528	6	20
233	582	6	22
571	1022	6	22
979	1164	6	22
229	569	6	23
412	1058	6	23
1103	1179	6	23
308	573	6	25
440	679	6	26
649	770	6	26
271	529	6	27
272	573	6	28
256	451	6	30
355	467	6	33
265	474	6	34
260	466	6	35
454	589	6	35
255	420	6	38
268	406	6	40
335	954	6	47
857	1107	6	47
313	576	6	55
561	762	6	55
291	569	6	56
462	608	6	56
630	687	6	56
291	305	6	57
370	436	6	61
311	1035	6	65
533	1116	6	65
325	713	6	66
675	1020	6	66
884	1181	6	66
362	949	6	67
597	1005	6	67
758	1062	6	67
346	470	6	68
458	610	6	68
281	413	6	71
374	882	6	73
764	1020	6	73
955	1127	6	73
358	686	6	74
477	817	6	74
650	900	6	74
809	1005	6	74
342	541	6	78
298	414	6	79
472	677	6	81
658	809	6	81
309	496	6	82
510	619	6	82
313	594	6	83
559	684	6	83
313	716	6	84
772	1064	6	84
563	721	6	86
304	395	6	88
334	932	6	89
911	1253	6	89
292	565	6	91
352	465	6	95
303	443	6	97
321	489	6	100
469	606	6	100
337	475	6	102
524	790	6	102
630	869	6	102
377	519	6	103
319	460	6	108
319	448	6	110
343	448	6	113
261	503	6	114
237	478	6	115
420	556	6	115
529	745	6	115
769	932	6	115
872	968	6	115
234	498	6	117
361	454	6	118
244	652	6	119
636	903	6	119
798	1041	6	119
361	1032	6	120
340	610	6	121
289	546	6	122
292	477	6	124
416	597	6	125
573	666	6	125
336	609	6	126
732	870	6	126
280	659	6	127
663	751	6	127
346	604	6	128
616	711	6	128
370	560	6	129
515	613	6	129
286	590	6	130
292	539	6	135
788	977	6	136
230	369	6	137
788	977	6	137
230	360	6	139
234	369	6	140
233	369	6	145
234	370	6	146
357	449	6	146
369	587	6	147
564	628	6	147
234	369	6	148
353	565	6	149
582	636	6	149
234	369	6	150
234	369	6	151
234	369	6	152
428	514	6	152
234	365	6	153
234	369	6	154
394	500	6	154
234	369	6	156
234	369	6	157
234	358	6	160
234	369	6	161
234	370	6	164
234	359	6	165
272	369	6	166
234	369	6	169
234	368	6	170
233	368	6	171
401	509	6	171
233	368	6	173
234	369	6	175
234	370	6	177
234	369	6	179
234	363	6	180
234	365	6	181
234	369	6	182
230	369	6	183
230	370	6	184
281	689	6	185
712	819	6	185
313	538	6	188
561	753	6	188
314	558	6	189
562	790	6	189
234	369	6	190
272	369	6	191
484	628	6	191
234	369	6	192
234	369	6	193
400	516	6	193
501	611	6	193
234	369	6	195
230	370	6	196
234	369	6	197
234	369	6	198
233	368	6	199
230	370	6	200
230	369	6	203
409	570	6	203
542	655	6	203
272	369	6	204
234	369	6	205
396	576	6	205
230	369	6	206
493	633	6	207
234	369	6	208
527	635	6	208
230	369	6	209
437	631	6	209
234	369	6	212
680	844	6	212
796	915	6	212
230	369	6	213
262	446	6	214
230	369	6	215
230	370	6	216
255	446	6	217
440	1070	6	217
1091	1149	6	217
230	369	6	219
460	637	6	219
230	369	6	220
459	666	6	220
664	738	6	220
230	369	6	221
272	369	6	222
233	368	6	223
233	368	6	224
234	368	6	225
566	774	6	226
310	405	6	227
419	635	6	227
657	1013	6	227
667	777	6	228
230	369	6	229
680	844	6	229
796	915	6	229
347	502	6	230
568	737	6	230
234	369	6	231
422	500	6	231
233	369	6	232
234	369	6	233
441	719	6	233
546	792	6	233
230	369	6	234
408	499	6	234
233	368	6	235
430	607	6	235
230	369	6	236
434	572	6	236
580	678	6	236
234	369	6	237
415	575	6	237
519	708	6	237
626	804	6	237
230	369	6	238
406	532	6	238
543	654	6	238
276	370	6	239
402	489	6	239
234	370	6	240
229	1062	6	243
1206	1216	6	243
480	633	6	244
234	369	6	245
234	369	6	247
472	587	6	247
234	369	6	251
230	369	6	252
532	788	6	252
234	370	6	253
492	650	6	253
602	761	6	253
260	456	6	255
370	590	6	255
309	629	6	257
465	1164	6	257
886	1309	6	257
1098	1354	6	257
1287	1416	6	257
437	1045	6	258
234	1062	6	258
1064	1193	6	258
234	370	6	259
230	369	6	260
260	456	6	261
372	687	6	261
230	369	6	262
421	784	6	262
699	888	6	262
230	368	6	263
480	722	6	263
609	892	6	263
264	450	6	264
230	369	6	265
408	498	6	265
234	369	6	266
286	456	6	267
393	638	6	267
529	706	6	267
234	369	6	268
448	568	6	268
312	639	6	269
530	989	6	269
846	1119	6	269
1076	1246	6	269
1184	1299	6	269
234	370	6	270
412	625	6	270
234	370	6	271
234	369	6	272
495	681	6	272
649	774	6	272
230	369	6	275
234	370	6	278
234	370	6	279
233	369	6	280
230	369	6	281
234	370	6	282
385	531	6	282
233	368	6	283
431	594	6	283
257	688	6	285
390	704	6	285
234	370	6	286
385	488	6	286
234	369	6	287
234	369	6	288
233	368	6	289
401	602	6	289
233	368	6	290
420	597	6	290
234	370	6	291
503	627	6	291
234	369	6	292
455	575	6	292
234	369	6	293
230	369	6	294
498	621	6	294
233	368	6	295
232	561	6	296
401	1032	6	296
1025	1118	6	296
233	369	6	297
230	369	6	298
350	407	6	298
230	370	6	299
232	561	6	300
399	965	6	300
387	704	6	301
232	682	6	302
234	369	6	303
453	557	6	303
233	368	6	304
492	625	6	304
230	369	6	305
465	553	6	305
281	675	6	306
241	682	6	307
719	778	6	307
233	368	6	308
254	688	6	309
452	741	6	309
907	1181	6	309
230	368	6	310
260	432	6	312
431	547	6	312
541	679	6	312
294	579	6	313
495	635	6	313
634	747	6	313
363	698	6	314
711	1038	6	314
927	1084	6	314
370	698	6	315
537	786	6	315
801	1083	6	315
230	369	6	317
442	649	6	317
617	953	6	317
