Outlets	Modes	Supercatchment	StreamID
485	573	33	3
574	705	33	4
572	709	33	6
664	741	33	6
366	610	33	7
489	1001	33	7
921	1215	33	7
1026	1245	33	7
1171	1300	33	7
211	324	33	9
211	324	33	10
233	358	33	12
454	562	33	15
322	570	33	16
514	693	33	16
213	452	33	19
497	735	33	19
653	933	33	19
223	344	33	20
213	344	33	21
206	667	33	22
428	822	33	22
546	935	33	22
772	1021	33	22
234	490	33	23
466	785	33	23
703	993	33	23
398	570	33	26
504	734	33	26
222	567	33	28
500	680	33	28
341	590	33	29
470	684	33	29
677	957	33	29
208	362	33	30
385	503	33	30
363	503	33	31
498	575	33	31
241	478	33	32
365	584	33	32
496	725	33	32
674	750	33	32
236	495	33	33
383	618	33	33
620	705	33	33
350	441	33	34
447	676	33	35
308	573	33	36
438	701	33	36
637	913	33	36
387	582	33	38
548	785	33	38
506	694	33	39
261	612	33	40
458	958	33	40
568	991	33	40
826	1070	33	40
370	530	33	41
269	509	33	43
505	845	33	43
390	654	33	44
390	495	33	45
214	371	33	46
423	599	33	46
211	372	33	47
475	586	33	47
528	681	33	48
739	808	33	48
548	765	33	49
471	637	33	50
610	744	33	50
483	683	33	52
589	776	33	52
310	648	33	56
196	910	33	56
365	830	33	57
195	911	33	57
552	976	33	57
893	1169	33	57
1051	1275	33	57
211	372	33	60
421	554	33	60
211	372	33	61
337	470	33	61
540	648	33	61
207	669	33	62
483	745	33	62
621	801	33	62
716	875	33	62
427	589	33	63
529	713	33	63
211	493	33	64
343	543	33	64
565	692	33	64
577	724	33	68
395	651	33	69
555	681	33	69
353	583	33	70
578	726	33	70
294	503	33	71
610	733	33	71
748	768	33	71
522	925	33	72
206	507	33	73
399	643	33	73
540	772	33	73
350	633	33	74
548	800	33	74
205	955	33	74
198	695	33	75
337	721	33	75
503	830	33	75
796	970	33	75
613	973	33	75
956	1045	33	75
491	727	33	76
232	484	33	78
530	718	33	78
232	493	33	79
343	545	33	79
595	801	33	79
433	655	33	80
678	796	33	80
361	791	33	81
580	896	33	81
195	911	33	81
683	1151	33	81
965	1312	33	81
1122	1429	33	81
200	910	33	82
393	996	33	82
558	1130	33	82
755	1174	33	82
878	1257	33	82
1290	1466	33	82
406	555	33	83
654	764	33	83
233	653	33	84
570	828	33	84
782	911	33	84
234	654	33	85
549	744	33	85
771	849	33	85
231	654	33	86
568	935	33	86
451	923	33	87
202	955	33	87
354	691	33	88
228	955	33	88
571	972	33	88
284	553	33	91
637	849	33	91
263	550	33	92
546	789	33	92
462	647	33	93
639	829	33	93
552	823	33	94
764	890	33	94
202	955	33	94
393	651	33	95
534	762	33	95
210	956	33	95
391	794	33	96
528	851	33	96
637	946	33	96
229	955	33	96
955	1158	33	96
1081	1280	33	96
281	601	33	97
496	917	33	97
684	948	33	97
785	1023	33	97
292	603	33	98
523	838	33	98
626	887	33	98
886	960	33	98
522	691	33	99
316	513	33	100
615	882	33	100
465	676	33	101
315	593	33	105
477	685	33	105
675	846	33	105
207	669	33	106
412	676	33	106
551	736	33	106
882	1238	33	106
1324	1398	33	106
202	669	33	107
339	985	33	107
747	1116	33	107
1033	1285	33	107
1182	1396	33	107
202	669	33	108
423	761	33	108
824	1054	33	108
302	588	33	111
552	793	33	111
827	980	33	111
263	573	33	112
449	699	33	112
259	573	33	115
397	679	33	115
614	782	33	115
779	883	33	115
389	742	33	117
549	907	33	117
195	911	33	117
653	817	33	118
523	915	33	118
760	917	33	118
202	955	33	118
444	747	33	121
547	898	33	121
229	955	33	121
793	1047	33	121
353	741	33	122
228	955	33	122
604	1017	33	122
1051	1244	33	122
1252	1390	33	122
284	553	33	123
509	722	33	123
639	792	33	123
202	507	33	124
581	819	33	124
435	933	33	126
226	955	33	126
749	1063	33	126
982	1120	33	126
1232	1432	33	126
198	695	33	127
339	770	33	127
445	926	33	127
738	1041	33	127
230	703	33	128
314	770	33	128
504	843	33	128
859	1080	33	128
302	588	33	129
476	690	33	129
636	896	33	129
883	982	33	129
308	751	33	130
435	752	33	130
562	815	33	130
764	926	33	130
202	955	33	131
581	1005	33	131
791	1065	33	131
1044	1176	33	131
497	715	33	132
628	858	33	132
228	955	33	132
733	959	33	132
474	770	33	133
229	955	33	133
425	525	33	134
589	709	33	134
202	955	33	134
484	774	33	136
202	955	33	136
478	776	33	138
605	815	33	138
229	955	33	138
308	751	33	139
453	886	33	139
707	982	33	139
888	1086	33	139
1019	1155	33	139
489	834	33	140
201	910	33	140
774	1120	33	140
1021	1316	33	140
308	590	33	141
595	869	33	141
202	507	33	142
580	857	33	142
689	926	33	142
427	659	33	143
600	878	33	143
202	955	33	144
199	910	33	146
492	1087	33	146
862	1355	33	146
1189	1457	33	146
263	608	33	148
574	833	33	148
730	895	33	148
286	608	33	149
701	942	33	149
508	667	33	150
681	760	33	150
202	955	33	150
524	711	33	151
202	955	33	151
228	955	33	152
576	1195	33	152
1228	1287	33	152
336	710	33	153
522	796	33	153
195	911	33	153
681	917	33	153
898	1023	33	153
473	901	33	154
202	955	33	154
613	1002	33	154
925	1296	33	154
1031	1331	33	154
579	940	33	155
229	955	33	155
893	1073	33	155
377	848	33	156
511	934	33	156
226	955	33	156
722	1112	33	156
935	1349	33	156
1194	1422	33	156
391	840	33	157
604	920	33	157
229	955	33	157
841	1002	33	157
231	651	33	158
478	689	33	158
618	883	33	158
308	590	33	159
588	867	33	159
850	977	33	159
194	506	33	160
470	793	33	160
680	1028	33	160
194	506	33	161
361	660	33	161
521	854	33	161
703	990	33	161
943	1028	33	161
656	943	33	162
229	955	33	162
889	987	33	162
226	955	33	163
826	1051	33	163
1091	1259	33	163
231	651	33	164
559	796	33	164
662	857	33	164
229	651	33	165
536	820	33	165
682	896	33	165
813	981	33	165
194	506	33	166
362	660	33	166
497	740	33	166
707	881	33	166
931	989	33	166
362	660	33	167
532	806	33	167
742	918	33	167
365	660	33	169
586	873	33	169
768	926	33	169
369	659	33	170
588	796	33	170
823	918	33	170
194	506	33	171
362	660	33	171
603	825	33	171
735	970	33	171
897	1077	33	171
579	759	33	172
823	898	33	172
229	955	33	172
194	506	33	173
357	659	33	173
545	948	33	173
858	1055	33	173
1039	1204	33	173
255	608	33	174
553	956	33	174
687	1005	33	174
895	1156	33	174
255	608	33	175
495	756	33	175
627	1080	33	175
725	1135	33	175
1223	1266	33	175
195	911	33	176
551	1124	33	176
767	1130	33	176
871	1364	33	176
1031	1461	33	176
1285	1670	33	176
1555	1713	33	176
224	955	33	177
567	1063	33	177
436	1133	33	177
828	1250	33	177
1306	1441	33	177
205	955	33	178
728	1052	33	178
1041	1266	33	178
228	955	33	179
657	997	33	179
792	1110	33	179
1095	1237	33	179
196	910	33	180
637	941	33	180
746	1011	33	180
851	1136	33	180
331	707	33	181
427	790	33	181
199	910	33	181
592	1019	33	181
777	1162	33	181
884	1263	33	181
1067	1419	33	181
1459	1520	33	181
202	955	33	182
604	981	33	182
1030	1216	33	182
1157	1276	33	182
195	911	33	183
443	1576	33	183
601	1732	33	183
1449	1988	33	183
