Modes	Outlets	Supercatchment	StreamID
300	1422	9	100
552	1687	9	100
782	2783	9	100
1334	3500	9	100
3562	3684	9	100
574	1047	9	11
1078	1390	9	11
276	1376	9	12
602	997	9	14
761	1079	9	14
1280	1415	9	14
1418	1552	9	14
626	1184	9	16
945	1283	9	16
1099	1407	9	16
594	1060	9	17
1046	1119	9	17
622	1018	9	18
809	1402	9	18
1000	1336	9	18
1096	1363	9	18
300	1422	9	19
745	1453	9	19
1231	1758	9	19
300	1422	9	21
589	1689	9	21
745	1308	9	21
1243	1632	9	21
1346	1696	9	21
1526	1792	9	21
300	1423	9	23
569	1687	9	23
812	1426	9	23
915	1473	9	23
1228	1544	9	23
1355	1601	9	23
541	1257	9	24
751	1230	9	24
915	1307	9	24
300	1422	9	25
563	1679	9	25
1217	1871	9	25
1672	2120	9	25
1774	2172	9	25
614	1291	9	26
753	1077	9	26
956	1261	9	26
300	1422	9	27
698	1386	9	27
1015	1516	9	27
1361	1608	9	27
300	1422	9	28
547	1671	9	28
709	1395	9	28
352	995	9	2
623	1282	9	2
869	1424	9	2
300	1429	9	31
616	1831	9	31
801	1742	9	31
541	1257	9	32
803	1290	9	32
1324	1439	9	32
568	1528	9	33
883	1228	9	33
1095	1297	9	33
300	1423	9	34
581	1830	9	34
1806	2087	9	34
300	1422	9	35
587	1527	9	35
848	1426	9	35
973	1464	9	35
1183	1522	9	35
1335	1634	9	35
300	1422	9	36
554	1687	9	36
911	1806	9	36
1589	2318	9	36
2171	2424	9	36
2347	2566	9	36
300	1422	9	37
563	1687	9	37
899	1837	9	37
300	1423	9	38
573	1687	9	38
757	1360	9	38
891	1397	9	38
1303	1729	9	38
300	1422	9	39
547	1671	9	39
764	1351	9	39
380	921	9	3
700	1177	9	3
887	1274	9	3
996	1332	9	3
1228	1591	9	3
300	1429	9	40
587	1830	9	40
928	1872	9	40
1967	2144	9	40
611	1291	9	41
739	1415	9	41
950	1268	9	41
1183	1378	9	41
300	1423	9	42
611	1831	9	42
871	1752	9	42
1485	1848	9	42
