Outlets	Modes	Supercatchment	StreamID
347	527	6	3
556	687	6	3
341	516	6	4
586	706	6	4
717	769	6	4
421	602	6	6
391	792	6	7
599	796	6	7
571	664	6	9
302	523	6	11
495	715	6	11
736	804	6	11
302	523	6	12
304	1028	6	15
1065	1431	6	15
1421	1635	6	15
1722	1847	6	15
544	966	6	16
873	1068	6	16
505	632	6	17
646	740	6	17
641	880	6	18
460	763	6	23
569	828	6	23
288	1036	6	23
570	664	6	26
288	1036	6	26
558	857	6	28
424	963	6	28
824	966	6	28
571	947	6	29
412	963	6	29
867	989	6	29
288	1036	6	30
288	1030	6	31
606	844	6	32
704	940	6	32
809	1128	6	32
293	1156	6	32
1043	1545	6	32
1535	1727	6	32
397	963	6	35
784	1121	6	35
893	1185	6	35
423	963	6	36
724	985	6	36
911	1038	6	36
449	833	6	38
693	934	6	38
933	1188	6	38
449	821	6	39
797	957	6	39
456	763	6	41
645	780	6	41
288	1036	6	41
631	852	6	42
288	1037	6	42
536	726	6	45
643	806	6	45
748	939	6	45
856	990	6	45
288	1031	6	45
1039	1183	6	45
575	722	6	46
749	851	6	46
288	1036	6	46
657	801	6	47
845	1085	6	47
1031	1182	6	47
669	867	6	48
857	959	6	48
968	1029	6	48
288	1036	6	48
685	837	6	49
959	1008	6	49
288	1036	6	49
288	1036	6	50
699	797	6	51
660	824	6	52
790	924	6	52
319	1036	6	52
1025	1154	6	52
1132	1188	6	52
696	820	6	54
508	874	6	54
692	878	6	55
314	1030	6	55
557	1065	6	55
971	1155	6	55
1104	1217	6	55
686	973	6	57
319	1036	6	57
642	851	6	58
806	1001	6	59
565	1007	6	59
288	1030	6	59
797	938	6	63
288	1036	6	63
545	1244	6	63
711	876	6	64
259	1146	6	64
529	712	6	65
653	985	6	65
288	1036	6	65
1004	1104	6	65
1111	1224	6	65
529	712	6	66
653	991	6	66
319	1036	6	66
872	1149	6	66
1088	1268	6	66
532	1007	6	69
314	1036	6	69
1040	1129	6	69
711	876	6	70
816	1124	6	70
293	1156	6	70
1079	1560	6	70
1647	1722	6	70
711	876	6	72
884	1078	6	72
737	876	6	73
642	851	6	75
652	878	6	76
288	1036	6	76
1015	1236	6	76
1228	1279	6	76
