Outlets	Modes	Supercatchment	StreamID
453	565	20	2
280	1049	20	3
908	1067	20	3
1072	1161	20	3
381	827	20	4
879	1182	20	4
518	943	20	7
280	1052	20	7
652	1192	20	7
1100	1307	20	7
292	1053	20	8
586	1321	20	8
432	1345	20	8
1002	1384	20	8
1400	1551	20	8
292	1053	20	9
280	1042	20	10
1000	1282	20	10
1182	1354	20	10
292	1053	20	11
856	1097	20	11
1031	1385	20	11
295	1055	20	12
700	1263	20	12
1297	1497	20	12
1524	1599	20	12
295	1055	20	13
642	1102	20	13
1014	1232	20	13
1122	1411	20	13
295	1056	20	14
433	1345	20	14
754	1466	20	14
1043	1550	20	14
1545	1681	20	14
292	1053	20	15
776	1329	20	15
432	1345	20	15
615	1807	20	15
1268	1819	20	15
292	1053	20	16
667	1488	20	16
1253	1651	20	16
1138	1728	20	16
1525	1772	20	16
1811	1897	20	16
280	1052	20	17
782	1069	20	17
945	1185	20	17
280	1052	20	18
429	1345	20	18
819	1708	20	18
614	1807	20	18
292	1053	20	19
432	1345	20	19
1058	1699	20	19
1532	1766	20	19
615	1807	20	19
1635	1817	20	19
1740	1870	20	19
280	1052	20	22
428	1345	20	22
582	1807	20	22
1179	1901	20	22
1637	2215	20	22
280	1052	20	23
423	1345	20	23
584	1807	20	23
1737	2129	20	23
293	1056	20	24
423	1345	20	24
582	1807	20	24
1197	1921	20	24
1378	2157	20	24
280	1052	20	25
423	1345	20	25
584	1807	20	25
1804	2035	20	25
2058	2283	20	25
293	1056	20	26
423	1345	20	26
582	1807	20	26
1449	2103	20	26
1760	2325	20	26
2236	2519	20	26
2453	2708	20	26
280	1052	20	27
423	1345	20	27
582	1807	20	27
1460	2098	20	27
1872	2128	20	27
1715	2186	20	27
