Modes	Outlets	Supercatchment	StreamID
268	509	1	2
423	669	1	2
527	818	1	2
244	491	1	3
351	775	1	3
888	1020	1	3
276	992	1	4
343	1115	1	6
1089	1261	1	6
395	1293	1	7
1168	1494	1	7
464	957	1	8
858	1350	1	8
492	1295	1	9
1273	1576	1	9
1454	1893	1	9
587	2105	1	13
178	2215	1	13
324	1249	1	14
696	1497	1	14
1476	1653	1	14
324	1249	1	15
827	1636	1	16
1274	1755	1	16
1401	1828	1	16
1655	2057	1	16
525	1499	1	17
1321	1642	1	17
1580	1735	1	17
542	1499	1	18
508	1596	1	21
896	1746	1	21
1720	1884	1	21
1880	2025	1	21
516	1632	1	22
1000	1844	1	23
1861	1920	1	23
1138	1629	1	24
516	1632	1	24
1351	1691	1	24
1645	1696	1	24
202	2215	1	25
1117	2711	1	25
2671	2732	1	25
487	1596	1	26
1097	1762	1	26
1392	1910	1	26
1832	2027	1	26
486	1596	1	27
1078	1767	1	27
1648	1971	1	27
1858	2063	1	27
202	2215	1	28
1663	2237	1	28
1312	2272	1	28
202	2215	1	29
1328	2753	1	29
2496	2903	1	29
202	2215	1	30
1465	2876	1	30
890	1798	1	31
1019	1864	1	31
1506	1998	1	31
1762	2078	1	31
202	2215	1	31
890	1798	1	32
1580	1854	1	32
1019	1864	1	32
1794	2073	1	32
202	2215	1	32
1518	2127	1	33
203	2215	1	33
1556	2015	1	34
1755	2181	1	34
202	2215	1	34
202	2215	1	35
1623	2654	1	35
2499	2981	1	35
202	2215	1	37
1484	2384	1	37
2047	2742	1	37
2140	3051	1	37
202	2215	1	40
1477	2384	1	40
2039	2550	1	40
2133	3046	1	40
202	2215	1	41
1838	2216	1	41
1703	2243	1	41
1475	2384	1	41
2248	2387	1	41
202	2215	1	42
1217	2391	1	42
2323	2392	1	42
202	2215	1	43
1239	2382	1	43
2108	2528	1	43
1863	2210	1	44
202	2215	1	44
1484	2384	1	44
2050	2701	1	44
2678	2854	1	44
202	2215	1	45
1274	2411	1	45
1731	2600	1	45
1926	2902	1	45
2574	2978	1	45
202	2215	1	46
1969	2410	1	46
1274	2411	1	46
2294	2486	1	46
1754	2601	1	46
202	2215	1	47
1920	2317	1	47
1509	2384	1	47
2177	2705	1	47
2694	3098	1	47
202	2215	1	48
1475	2382	1	48
2190	2821	1	48
202	2215	1	53
1490	2384	1	53
2409	2553	1	53
2643	2720	1	53
202	2215	1	54
1682	2243	1	54
1813	2354	1	54
1530	2384	1	54
2251	2617	1	54
2643	2672	1	54
202	2215	1	57
1527	2384	1	57
2102	2389	1	57
2378	2726	1	57
2664	3094	1	57
202	2215	1	58
1477	2384	1	58
2193	2407	1	58
2431	2645	1	58
202	2215	1	59
1527	2384	1	59
2101	2489	1	59
2430	3263	1	59
2973	3380	1	59
202	2215	1	60
1542	2384	1	60
2083	3420	1	60
202	2215	1	61
1682	2243	1	61
1813	2354	1	61
1509	2384	1	61
2273	2429	1	61
2410	2638	1	61
202	2215	1	62
1703	2243	1	62
1799	2355	1	62
1527	2384	1	62
2410	2808	1	62
2750	2936	1	62
202	2215	1	63
1527	2358	1	63
2310	2754	1	63
2417	2841	1	63
202	2215	1	64
1527	2380	1	64
202	2215	1	67
1542	2384	1	67
2082	2846	1	67
2385	2993	1	67
202	2215	1	68
1490	2384	1	68
2073	2846	1	68
2729	3079	1	68
2835	3237	1	68
2982	3420	1	68
202	2215	1	69
1538	2384	1	69
2084	2879	1	69
2651	3090	1	69
202	2215	1	70
1527	2384	1	70
2075	3407	1	70
201	2215	1	71
1538	2384	1	71
2067	3468	1	71
202	2215	1	72
1527	2384	1	72
2076	3446	1	72
202	2215	1	73
1542	2384	1	73
2080	2894	1	73
2871	3097	1	73
202	2215	1	74
1490	2384	1	74
2073	2897	1	74
2887	3071	1	74
201	2215	1	75
1538	2384	1	75
2092	3385	1	75
3420	3533	1	75
202	2215	1	76
1542	2384	1	76
2075	3407	1	76
209	609	2	2
385	766	2	2
718	931	2	2
406	719	2	3
538	807	2	3
634	878	2	3
444	680	2	4
267	809	2	6
297	1085	2	7
664	1114	2	7
445	864	2	9
932	1299	2	9
1352	1394	2	9
331	1254	2	10
1222	1376	2	10
258	878	2	11
419	1020	2	11
996	1125	2	11
406	1011	2	12
906	1187	2	12
253	1562	2	12
678	1291	2	13
793	1501	2	13
253	1562	2	13
572	1568	2	13
1167	1602	2	13
1446	1737	2	13
259	1320	2	14
1167	1324	2	14
276	1342	2	15
660	1495	2	17
253	1562	2	17
980	1852	2	17
1626	2119	2	17
1882	2208	2	17
700	1330	2	18
253	1562	2	18
958	2030	2	18
1725	2108	2	18
253	1498	2	21
1131	1549	2	21
253	1541	2	22
881	1599	2	22
1725	1745	2	22
256	1541	2	23
788	1641	2	23
905	1387	2	24
253	1541	2	24
795	1664	2	24
1193	1678	2	24
253	1562	2	25
635	1657	2	25
1588	1943	2	25
1077	2175	2	25
1434	1514	2	26
253	1562	2	26
619	1657	2	26
1298	1736	2	26
253	1562	2	27
635	1645	2	27
1402	1812	2	27
1304	1909	2	27
1590	2146	2	27
1825	2432	2	27
253	1562	2	28
635	1657	2	28
1287	1908	2	28
1448	2173	2	28
253	1562	2	29
635	1657	2	29
1287	1909	2	29
1499	2117	2	29
2090	2229	2	29
253	1562	2	30
635	1657	2	30
1575	2417	2	30
271	806	3	2
806	1089	3	2
1010	1160	3	2
475	612	3	3
299	744	3	5
465	945	3	5
1000	1283	3	5
1174	1321	3	5
264	936	3	6
960	1063	3	6
273	1187	3	7
1086	1258	3	7
1347	1450	3	7
202	1318	3	8
489	1468	3	8
854	1563	3	8
366	932	3	10
946	1147	3	10
1232	1466	3	10
393	542	3	11
562	678	3	11
423	961	3	12
772	1093	3	12
927	1173	3	12
1088	1312	3	12
1349	1418	3	12
259	920	3	16
227	920	3	17
467	1219	3	17
862	1322	3	17
1361	1426	3	17
747	1213	3	19
854	1312	3	19
1363	1466	3	19
299	1734	3	19
563	1270	3	22
410	1367	3	22
1361	1828	3	22
1812	1927	3	22
573	1142	3	23
759	1337	3	23
1348	1618	3	23
308	1735	3	23
230	920	3	24
631	958	3	24
841	1196	3	24
500	1307	3	24
1101	1364	3	24
647	1721	3	26
279	1734	3	26
1231	1775	3	26
485	1796	3	26
