Outlets	Modes	Supercatchment	StreamID
209	609	2	2
385	766	2	2
718	931	2	2
406	719	2	3
538	807	2	3
634	878	2	3
444	680	2	4
267	809	2	6
297	1085	2	7
664	1114	2	7
445	864	2	9
932	1299	2	9
1352	1394	2	9
331	1254	2	10
1222	1376	2	10
258	878	2	11
419	1020	2	11
996	1125	2	11
406	1011	2	12
906	1187	2	12
253	1562	2	12
678	1291	2	13
793	1501	2	13
253	1562	2	13
572	1568	2	13
1167	1602	2	13
1446	1737	2	13
259	1320	2	14
1167	1324	2	14
276	1342	2	15
660	1495	2	17
253	1562	2	17
980	1852	2	17
1626	2119	2	17
1882	2208	2	17
700	1330	2	18
253	1562	2	18
958	2030	2	18
1725	2108	2	18
253	1498	2	21
1131	1549	2	21
253	1541	2	22
881	1599	2	22
1725	1745	2	22
256	1541	2	23
788	1641	2	23
905	1387	2	24
253	1541	2	24
795	1664	2	24
1193	1678	2	24
253	1562	2	25
635	1657	2	25
1588	1943	2	25
1077	2175	2	25
1434	1514	2	26
253	1562	2	26
619	1657	2	26
1298	1736	2	26
253	1562	2	27
635	1645	2	27
1402	1812	2	27
1304	1909	2	27
1590	2146	2	27
1825	2432	2	27
253	1562	2	28
635	1657	2	28
1287	1908	2	28
1448	2173	2	28
253	1562	2	29
635	1657	2	29
1287	1909	2	29
1499	2117	2	29
2090	2229	2	29
253	1562	2	30
635	1657	2	30
1575	2417	2	30
