Modes	Outlets	Supercatchment	StreamID
554	711	1	2
655	778	1	2
303	639	1	3
654	934	1	3
1007	1090	1	3
469	623	1	4
303	639	1	4
630	755	1	4
811	857	1	4
290	639	1	5
434	793	1	5
676	854	1	5
911	1162	1	5
1280	1364	1	5
300	639	1	6
613	1044	1	6
976	1431	1	6
1463	1556	1	6
290	639	1	7
489	1073	1	7
596	1219	1	7
939	1358	1	7
413	886	2	2
664	998	2	2
468	802	2	4
302	1193	2	4
849	1423	2	4
1488	1600	2	4
1596	1671	2	4
582	892	2	5
304	1193	2	5
888	1698	2	5
1606	1814	2	5
598	1129	2	6
464	1166	2	6
304	1193	2	6
971	1352	2	6
1125	1401	2	6
1378	1595	2	6
606	866	2	7
819	947	2	7
976	1063	2	7
302	1193	2	7
665	1130	2	9
302	1192	2	9
899	1375	2	9
730	1160	2	10
304	1193	2	10
1066	1525	2	10
456	1166	2	12
302	1193	2	12
614	1836	2	12
1823	1948	2	12
456	1166	2	13
302	1193	2	13
583	1836	2	13
1235	1905	2	13
1455	2062	2	13
1913	2141	2	13
304	1193	2	15
917	1348	2	15
751	1162	2	16
302	1193	2	16
984	1356	2	16
880	1053	2	17
748	1161	2	17
302	1193	2	17
984	1506	2	17
745	1161	2	20
302	1193	2	20
901	1360	2	20
1350	1562	2	20
302	1193	2	21
846	1261	2	21
744	1529	2	21
1108	1532	2	21
1393	1935	2	21
1986	2187	2	21
302	1193	2	22
738	1529	2	22
995	1804	2	22
746	1161	2	24
302	1193	2	24
1034	1541	2	24
1545	1734	2	24
756	1168	2	25
304	1193	2	25
1047	1347	2	25
1152	1454	2	25
1433	1610	2	25
302	1193	2	27
1053	1341	2	27
1309	1509	2	27
742	1529	2	27
1491	1734	2	27
302	1193	2	30
738	1528	2	30
1021	1847	2	30
1753	1938	2	30
302	1193	2	31
1005	1427	2	31
744	1529	2	31
1265	1742	2	31
302	1193	2	32
1021	1264	2	32
1178	1404	2	32
739	1528	2	32
1503	1545	2	32
302	1193	2	37
737	1528	2	37
917	1608	2	37
302	1193	2	38
1149	1492	2	38
738	1528	2	38
919	1608	2	38
1405	1680	2	38
1797	1916	2	38
302	1193	2	39
738	1528	2	39
919	1615	2	39
1155	1635	2	39
1621	1756	2	39
302	1193	2	40
742	1518	2	40
1236	1630	2	40
1544	1787	2	40
1765	1940	2	40
302	1193	2	41
761	1519	2	41
1506	1681	2	41
1647	1736	2	41
302	1193	2	42
663	1808	2	42
1483	1937	2	42
1776	1948	2	42
1877	2007	2	42
302	1193	2	43
1045	1470	2	43
737	1528	2	43
1202	1730	2	43
1714	1881	2	43
1869	1959	2	43
302	1193	2	44
1026	1470	2	44
743	1529	2	44
899	1615	2	44
1208	1724	2	44
1755	1930	2	44
302	1193	2	45
742	1529	2	45
947	1732	2	45
1128	1891	2	45
302	1193	2	46
743	1529	2	46
953	1732	2	46
1128	1921	2	46
1367	1966	2	46
302	1193	2	47
940	1321	2	47
761	1528	2	47
1170	2007	2	47
1736	2081	2	47
2177	2263	2	47
302	1193	2	48
940	1321	2	48
761	1528	2	48
1146	2007	2	48
1551	2231	2	48
2091	2372	2	48
2322	2691	2	48
302	1193	2	49
740	1528	2	49
946	1730	2	49
302	1193	2	50
742	1529	2	50
947	1730	2	50
1464	1832	2	50
1728	1870	2	50
302	1193	2	51
663	1808	2	51
1710	2073	2	51
1248	2076	2	51
1587	2236	2	51
2020	2332	2	51
2113	2516	2	51
302	1193	2	52
640	1808	2	52
1232	2092	2	52
1801	2382	2	52
302	1193	2	53
740	1528	2	53
1077	1866	2	53
1922	2175	2	53
302	1193	2	54
737	1528	2	54
1073	1866	2	54
1609	2049	2	54
1762	2226	2	54
2048	2289	2	54
302	1193	2	55
737	1528	2	55
1073	1866	2	55
1633	2366	2	55
1765	2513	2	55
2297	2676	2	55
302	1193	2	56
737	1528	2	56
1073	1866	2	56
1633	2366	2	56
1763	2513	2	56
2464	2702	2	56
327	518	3	3
468	827	3	3
319	536	3	4
584	877	3	4
769	927	3	4
555	1048	3	7
898	1153	3	7
847	1156	3	10
973	1333	3	10
755	1258	3	11
1101	1931	3	11
1731	2165	3	11
831	1293	3	12
1246	1568	3	12
544	2311	3	12
827	1470	3	13
1272	1983	3	13
1765	2084	3	13
307	1990	3	14
822	2053	3	14
2164	2412	3	14
946	1582	3	15
1078	1942	3	15
309	1990	3	15
1832	2048	3	15
1021	1885	3	16
307	1990	3	16
1897	2146	3	16
846	2167	3	16
585	1774	3	17
1457	2062	3	17
1811	2198	3	17
1139	1490	3	18
1298	1623	3	18
544	2311	3	18
1056	1714	3	19
307	1990	3	19
1313	2083	3	19
848	2167	3	19
1096	1506	3	20
308	1990	3	20
832	2167	3	20
1557	2174	3	20
1972	2242	3	20
615	1584	3	22
1078	1659	3	22
844	1857	3	22
1231	1970	3	22
1896	2251	3	22
1186	1789	3	23
1631	1915	3	23
1842	1931	3	23
308	2006	3	23
2095	2118	3	23
540	2311	3	23
1260	1771	3	25
307	1990	3	25
1568	2009	3	25
1131	2078	3	25
822	2167	3	25
1698	2177	3	25
1901	2335	3	25
2011	2465	3	25
2327	2682	3	25
615	1584	3	27
844	1857	3	27
307	1990	3	27
1077	2125	3	27
2025	2296	3	27
2155	2399	3	27
618	1584	3	28
1321	1843	3	28
849	1857	3	28
308	1990	3	28
1077	2125	3	28
1603	2289	3	28
1994	2347	3	28
307	2006	3	29
1363	2152	3	29
539	2311	3	29
2032	2329	3	29
1086	1958	3	31
1577	1973	3	31
308	1990	3	31
802	2167	3	31
307	1990	3	32
818	2167	3	32
1741	2238	3	32
2170	2498	3	32
307	1990	3	33
1422	2069	3	33
1119	2078	3	33
814	2167	3	33
1802	2421	3	33
2419	3045	3	33
558	1820	3	34
307	2006	3	34
1018	2534	3	34
2459	2620	3	34
2676	2765	3	34
566	1821	3	35
307	2006	3	35
1436	2059	3	35
1051	2535	3	35
1083	1958	3	37
308	1990	3	37
1579	2088	3	37
825	2167	3	37
1263	2342	3	37
307	2006	3	38
530	2309	3	38
2310	2472	3	38
1099	1958	3	39
307	1990	3	39
1660	2069	3	39
817	2167	3	39
1274	2343	3	39
1888	2358	3	39
2165	2475	3	39
2374	2954	3	39
307	2006	3	40
1634	2202	3	40
1762	2269	3	40
530	2309	3	40
307	1990	3	41
1575	2002	3	41
1119	2078	3	41
814	2167	3	41
1730	2721	3	41
2136	2957	3	41
2624	3410	3	41
1395	3525	3	41
307	1990	3	42
1124	2078	3	42
818	2167	3	42
1405	3525	3	42
307	1990	3	45
1792	2124	3	45
818	2167	3	45
1891	2630	3	45
2167	2724	3	45
2532	2889	3	45
307	1990	3	46
1114	2078	3	46
813	2167	3	46
1293	2974	3	46
1722	3328	3	46
3219	3543	3	46
307	1990	3	47
814	2167	3	47
1727	2455	3	47
2254	2670	3	47
2387	3037	3	47
2741	3206	3	47
1095	1958	3	48
307	1990	3	48
816	2167	3	48
1274	2343	3	48
1782	3054	3	48
307	1990	3	51
822	2167	3	51
1768	2582	3	51
2426	2828	3	51
307	2006	3	52
530	2309	3	52
1855	2327	3	52
2178	2442	3	52
307	2006	3	53
530	2309	3	53
307	2006	3	54
1692	2198	3	54
530	2309	3	54
2163	2570	3	54
307	1990	3	55
1122	2078	3	55
816	2167	3	55
1959	2456	3	55
2272	2854	3	55
2400	2975	3	55
1403	3525	3	55
1684	3544	3	55
1095	1958	3	56
307	1990	3	56
816	2167	3	56
1274	2343	3	56
2011	2350	3	56
2294	2505	3	56
307	2006	3	57
1704	2198	3	57
530	2309	3	57
2241	2589	3	57
307	2006	3	58
1684	2199	3	58
537	2311	3	58
2042	2595	3	58
307	1990	3	59
815	2167	3	59
2085	3421	3	59
307	1990	3	60
814	2167	3	60
2532	2892	3	60
2387	2940	3	60
307	1990	3	61
822	2167	3	61
2178	2553	3	61
2387	3468	3	61
1095	1958	3	62
307	1990	3	62
817	2167	3	62
1274	2343	3	62
2015	2548	3	62
2245	3085	3	62
307	1990	3	63
1124	2078	3	63
818	2167	3	63
1405	3525	3	63
1658	3533	3	63
307	1990	3	64
1122	2078	3	64
815	2167	3	64
2263	2832	3	64
2447	3023	3	64
1552	3288	3	64
1399	3525	3	64
2646	3561	3	64
1757	3618	3	64
1378	1851	3	65
307	1990	3	65
1124	2078	3	65
817	2167	3	65
1662	2534	3	65
2220	2980	3	65
1371	1851	3	66
307	1990	3	66
1119	2078	3	66
813	2167	3	66
1649	2533	3	66
2232	2980	3	66
2377	3293	3	66
2770	3492	3	66
1095	1958	3	67
307	1990	3	67
814	2167	3	67
1271	2343	3	67
2007	2548	3	67
2414	2854	3	67
2773	3007	3	67
1095	1958	3	68
307	1990	3	68
816	2167	3	68
1274	2343	3	68
2012	2548	3	68
2416	3179	3	68
307	1990	3	69
1114	2078	3	69
813	2167	3	69
1745	2531	3	69
1290	2974	3	69
2075	3066	3	69
2454	3235	3	69
307	1990	3	70
1119	2078	3	70
815	2167	3	70
1753	2531	3	70
1299	2974	3	70
2061	3065	3	70
2780	3409	3	70
3271	3546	3	70
307	1990	3	71
1114	2078	3	71
813	2167	3	71
1545	3288	3	71
1390	3525	3	71
2555	3543	3	71
3310	3544	3	71
1771	3618	3	71
3437	3676	3	71
307	1990	3	72
1114	2078	3	72
813	2167	3	72
1799	2843	3	72
2101	3257	3	72
1546	3288	3	72
2660	3397	3	72
1395	3525	3	72
307	1990	3	73
1122	2078	3	73
816	2167	3	73
1785	2843	3	73
2676	3179	3	73
2118	3259	3	73
1552	3288	3	73
1403	3525	3	73
307	1990	3	74
1119	2078	3	74
814	2167	3	74
1675	3506	3	74
1395	3525	3	74
2886	3642	3	74
307	1990	3	75
1119	2078	3	75
814	2167	3	75
1552	3288	3	75
1399	3525	3	75
1778	3618	3	75
307	1990	3	76
1119	2078	3	76
813	2167	3	76
2712	3283	3	76
1548	3288	3	76
1395	3525	3	76
2920	3575	3	76
1778	3618	3	76
3169	3732	3	76
307	1990	3	77
1122	2078	3	77
816	2167	3	77
1403	3525	3	77
1684	3528	3	77
3347	3677	3	77
314	767	4	4
832	1039	4	4
1174	1235	4	4
311	797	4	5
494	1101	4	5
