Outlets	Modes	Supercatchment	StreamID
377	566	57	2
363	457	57	5
410	561	57	6
337	464	57	7
559	804	57	7
792	931	57	7
367	468	57	8
509	665	57	8
357	441	57	9
427	713	57	12
631	1132	57	12
438	852	57	13
935	1006	57	13
433	614	57	15
593	805	57	15
743	866	57	15
430	683	57	16
612	824	57	16
415	699	57	17
759	1135	57	17
478	1069	57	20
974	1125	57	20
613	1008	57	21
921	1189	57	21
660	875	57	22
471	1172	57	23
1313	1416	57	23
542	1125	57	24
304	1302	57	24
725	1340	57	24
1046	1423	57	24
883	1471	57	24
1408	1533	57	24
517	1060	57	25
724	1121	57	25
1021	1216	57	25
480	848	57	26
608	1114	57	26
1032	1205	57	26
1160	1268	57	26
499	1073	57	27
1188	1268	57	27
391	631	57	28
560	792	57	28
828	951	57	28
615	719	57	29
755	868	57	29
521	773	57	31
304	1302	57	31
758	1360	57	31
1067	1507	57	31
1560	1681	57	31
573	1187	57	34
1078	1270	57	34
624	776	57	35
763	836	57	35
568	817	57	36
878	991	57	36
615	1029	57	37
960	1205	57	37
581	898	57	38
813	1105	57	38
435	1229	57	39
304	1302	57	39
1140	1321	57	39
304	1302	57	40
568	1549	57	40
502	874	57	41
855	1081	57	41
306	1302	57	41
305	1302	57	42
740	1446	57	42
1391	1533	57	42
594	1157	57	43
936	1267	57	43
304	1302	57	43
1319	1362	57	43
304	1302	57	44
603	1384	57	44
788	1528	57	44
435	1229	57	45
594	1254	57	45
304	1302	57	45
1214	1501	57	45
858	1518	57	45
1376	1559	57	45
570	986	57	46
435	1229	57	46
304	1302	57	46
935	1323	57	46
1307	1436	57	46
630	889	57	47
307	1302	57	47
930	1500	57	47
618	1087	57	49
304	1302	57	49
958	1302	57	49
677	1134	57	57
859	1159	57	57
495	874	57	58
630	922	57	58
822	1085	57	58
978	1086	57	58
647	1269	57	59
304	1302	57	59
1225	1488	57	59
1408	1721	57	59
645	1259	57	60
304	1302	57	60
1273	1880	57	60
302	1302	57	61
1058	1421	57	61
709	1168	57	62
1030	1216	57	62
304	1302	57	62
499	874	57	63
610	979	57	63
305	1302	57	63
593	976	57	64
726	1068	57	64
957	1202	57	64
1162	1276	57	64
304	1302	57	64
304	1302	57	67
732	1313	57	67
751	1150	57	68
883	1235	57	68
304	1271	57	68
1116	1348	57	68
1312	1483	57	68
304	1271	57	70
761	1015	57	71
304	1302	57	71
1140	1356	57	71
610	1256	57	73
302	1302	57	73
793	1369	57	73
1244	1457	57	73
771	1160	57	74
980	1282	57	74
302	1302	57	74
1191	1932	57	74
1887	2103	57	74
618	1254	57	75
302	1302	57	75
1131	1353	57	75
1342	1424	57	75
664	1117	57	76
302	1302	57	76
1054	1616	57	76
1624	1692	57	76
675	1117	57	77
304	1302	57	77
881	1537	57	77
847	1234	57	78
302	1302	57	78
1258	1447	57	78
889	996	57	79
699	1174	57	79
304	1302	57	79
302	1302	57	80
818	1383	57	80
946	1443	57	80
