Outlets	Modes	Supercatchment	StreamID
304	586	16	2
618	1023	16	2
244	565	16	3
443	835	16	3
631	1015	16	3
841	1045	16	3
335	1058	16	5
591	1096	16	5
782	1151	16	5
1027	1212	16	5
1152	1283	16	5
1328	1480	16	5
380	717	16	6
519	797	16	6
622	991	16	6
900	1100	16	6
373	875	16	7
1040	1162	16	7
1225	1292	16	7
368	1209	16	8
787	1280	16	8
234	959	16	11
636	1104	16	11
447	1173	16	11
913	1197	16	11
1244	1430	16	11
1405	1562	16	11
613	1073	16	13
279	1294	16	13
398	1597	16	13
928	1754	16	13
700	1040	16	17
828	1199	16	17
1068	1583	16	17
398	1597	16	17
1432	1667	16	17
463	1058	16	18
806	1287	16	18
357	1321	16	18
964	1351	16	18
463	1080	16	19
679	1277	16	19
279	1294	16	19
889	1386	16	19
743	1106	16	22
904	1278	16	22
1079	1471	16	22
412	1597	16	22
279	1294	16	23
488	1369	16	23
721	1430	16	23
850	1493	16	23
1403	1710	16	23
1749	1793	16	23
279	1294	16	24
488	1370	16	24
798	1415	16	24
902	1684	16	24
1235	1874	16	24
1745	1932	16	24
279	1294	16	25
488	1364	16	25
1026	1693	16	25
1213	1893	16	25
1706	2189	16	25
285	1294	16	26
949	1355	16	26
657	1429	16	26
388	1597	16	26
1276	1887	16	26
234	959	16	27
888	1517	16	27
1512	1744	16	27
618	1784	16	27
234	959	16	28
532	1632	16	28
639	1785	16	28
1805	2289	16	28
279	1294	16	29
488	1371	16	29
718	1539	16	29
613	1635	16	29
867	1687	16	29
1127	1927	16	29
1510	2106	16	29
2115	2254	16	29
279	1294	16	30
984	1366	16	30
722	1539	16	30
1137	1624	16	30
591	1635	16	30
877	1687	16	30
1366	1882	16	30
1689	2151	16	30
279	1294	16	31
637	1429	16	31
941	1594	16	31
381	1597	16	31
1465	1702	16	31
279	1294	16	32
488	1371	16	32
604	1635	16	32
1074	1692	16	32
720	1752	16	32
1366	1804	16	32
1898	2146	16	32
279	1294	16	33
381	1597	16	33
638	1837	16	33
1067	1858	16	33
974	2027	16	33
1827	2287	16	33
1973	2409	16	33
2314	2567	16	33
2483	2724	16	33
279	1294	16	34
640	1429	16	34
956	1572	16	34
396	1597	16	34
1183	1910	16	34
1315	2016	16	34
1526	2240	16	34
2226	2336	16	34
2381	2389	16	34
279	1294	16	35
381	1597	16	35
641	1837	16	35
976	2027	16	35
1784	2257	16	35
279	1294	16	36
613	1635	16	36
720	1752	16	36
1541	2143	16	36
1646	2213	16	36
279	1294	16	37
640	1429	16	37
956	1573	16	37
381	1597	16	37
1310	2247	16	37
1992	2394	16	37
1211	2476	16	37
192	1123	16	38
377	1597	16	38
634	1837	16	38
963	2027	16	38
1651	2307	16	38
2010	2636	16	38
279	1294	16	39
637	1429	16	39
941	1573	16	39
381	1597	16	39
1719	2318	16	39
1202	2476	16	39
2675	2686	16	39
279	1294	16	40
381	1597	16	40
638	1837	16	40
969	2027	16	40
1567	2180	16	40
2004	2376	16	40
279	1294	16	41
381	1597	16	41
638	1837	16	41
969	2027	16	41
1562	2512	16	41
2355	2675	16	41
192	1123	16	42
300	1298	16	42
604	1635	16	42
733	1752	16	42
1266	2013	16	42
2108	2458	16	42
2220	2620	16	42
279	1294	16	43
613	1635	16	43
712	1752	16	43
1276	2013	16	43
1655	2359	16	43
1940	2500	16	43
2062	2574	16	43
2376	2608	16	43
