Modes	Outlets	Supercatchment	StreamID
239	600	1	2
450	710	1	2
546	836	1	2
738	971	1	2
251	893	1	3
854	1104	1	3
1116	1212	1	3
283	1156	1	4
1267	1331	1	4
334	1173	1	5
179	1246	1	5
600	1402	1	5
329	719	1	6
454	934	1	6
874	1015	1	6
614	1091	1	6
179	1246	1	9
364	1359	1	9
1019	1520	1	9
1394	1630	1	9
382	742	1	10
516	797	1	10
796	941	1	10
955	1035	1	10
435	1009	1	11
844	1061	1	11
946	1126	1	11
1074	1276	1	11
1177	1336	1	11
466	965	1	13
702	1177	1	13
179	1246	1	13
594	829	1	15
797	1094	1	15
1012	1180	1	15
591	1133	1	16
502	812	1	19
636	951	1	19
901	1057	1	19
1000	1203	1	19
473	991	1	20
872	1245	1	20
149	1246	1	20
1317	1408	1	20
577	1097	1	21
1188	1374	1	21
624	926	1	22
794	1095	1	22
995	1239	1	22
661	966	1	23
946	1159	1	23
1179	1370	1	23
569	999	1	24
838	1091	1	24
996	1198	1	24
179	1246	1	24
1225	1417	1	24
1353	1592	1	24
560	971	1	25
962	1210	1	25
149	1246	1	25
183	1246	1	26
438	1525	1	26
604	1730	1	26
1572	1811	1	26
659	1026	1	27
807	1187	1	27
183	1246	1	27
408	1131	1	28
183	1246	1	28
400	1131	1	29
1140	1246	1	29
183	1246	1	29
183	1246	1	30
424	1525	1	30
616	1635	1	30
868	1074	1	31
974	1175	1	31
179	1246	1	31
569	1055	1	34
179	1246	1	34
1050	1337	1	34
1309	1425	1	34
470	1001	1	35
1000	1232	1	35
183	1246	1	35
1241	1488	1	35
559	1024	1	36
987	1082	1	36
183	1246	1	36
567	1071	1	37
725	1129	1	37
183	1246	1	37
879	1307	1	37
1147	1387	1	37
183	1246	1	38
722	1336	1	38
459	1525	1	38
1185	1557	1	38
1555	1639	1	38
950	1167	1	40
850	1219	1	40
183	1246	1	40
1226	1558	1	40
835	1085	1	41
962	1222	1	41
183	1246	1	41
1220	1322	1	41
438	1516	1	41
179	1246	1	46
812	1273	1	46
436	1516	1	46
853	1124	1	47
