Outlets	Modes	Supercatchment	StreamID
234	543	69	2
595	856	69	2
418	1111	69	4
648	1137	69	4
924	1279	69	4
202	621	69	5
647	885	69	5
238	585	69	7
357	837	69	7
814	998	69	7
1022	1200	69	7
229	585	69	8
357	837	69	8
595	1229	69	8
951	1336	69	8
1048	1406	69	8
201	619	69	9
379	625	69	9
645	1017	69	9
800	1325	69	9
933	1362	69	9
202	621	69	12
359	710	69	12
518	1189	69	12
829	1257	69	12
1044	1356	69	12
1268	1534	69	12
202	621	69	13
377	715	69	13
648	1057	69	13
202	621	69	14
368	712	69	14
510	1040	69	14
800	1321	69	14
1236	1517	69	14
201	619	69	15
359	969	69	15
515	1161	69	15
1161	1361	69	15
202	619	69	16
361	712	69	16
476	983	69	16
954	1376	69	16
1329	1465	69	16
202	621	69	17
368	712	69	17
478	984	69	17
807	1252	69	17
932	1319	69	17
202	621	69	18
355	969	69	18
837	1304	69	18
1206	1399	69	18
202	621	69	19
363	969	69	19
864	1279	69	19
967	1314	69	19
1116	1359	69	19
1328	1424	69	19
202	621	69	20
363	969	69	20
919	1353	69	20
1328	1452	69	20
