Modes	Outlets	Supercatchment	StreamID
328	920	1	2
821	1201	1	2
1236	1296	1	2
622	812	1	5
302	841	1	5
833	1057	1	5
1085	1310	1	5
304	841	1	6
779	1140	1	6
925	1182	1	6
302	841	1	7
612	1678	1	7
1045	1983	1	7
1564	2084	1	7
2166	2340	1	7
2000	2404	1	7
300	841	1	8
608	1678	1	8
969	2046	1	8
1560	2165	1	8
1816	2169	1	8
300	841	1	9
608	1678	1	9
943	2046	1	9
1555	2165	1	9
1757	2244	1	9
2171	2460	1	9
2301	2716	1	9
648	1112	2	2
308	1146	2	2
825	1202	2	2
802	947	2	3
304	1146	2	3
304	1146	2	4
725	1291	2	4
592	1335	2	4
1119	1885	2	4
1775	2104	2	4
1876	2303	2	4
304	1146	2	5
510	1226	2	5
608	1377	2	5
713	1510	2	5
1539	1777	2	5
1716	1986	2	5
304	1146	2	6
510	1226	2	6
611	1377	2	6
713	1510	2	6
1047	1754	2	6
1436	2131	2	6
1558	2214	2	6
1915	2569	2	6
2230	2707	2	6
304	1146	2	7
592	1335	2	7
723	1511	2	7
1109	1779	2	7
1408	1898	2	7
1777	2335	2	7
331	956	3	2
1042	1305	3	2
442	1039	3	3
302	1145	3	3
594	1335	3	3
1148	1414	3	3
301	1145	3	4
498	1303	3	4
1094	1515	3	4
1409	1793	3	4
1532	1890	3	4
306	1145	3	5
778	1568	3	5
1555	1748	3	5
302	1145	3	6
729	1481	3	6
1061	1590	3	6
1369	1708	3	6
302	1145	3	9
955	1348	3	9
1134	1512	3	9
1235	1648	3	9
1544	1887	3	9
302	1145	3	10
914	1501	3	10
1220	1604	3	10
1096	1730	3	10
1451	1835	3	10
301	1145	3	11
843	1597	3	11
1223	1843	3	11
1023	1869	3	11
1410	2244	3	11
1976	2340	3	11
2277	2437	3	11
301	1145	3	12
843	1597	3	12
1023	1869	3	12
1355	2173	3	12
1686	2259	3	12
2173	2340	3	12
2279	2416	3	12
404	1693	4	2
1527	1820	4	2
1778	2123	4	2
2079	2319	4	2
417	758	4	3
524	1026	4	3
719	1185	4	3
984	1332	4	3
1213	1487	4	3
411	750	4	4
572	1067	4	4
1042	1128	4	4
431	964	5	2
642	1031	5	2
747	1118	5	2
1048	1325	5	2
1201	1420	5	2
292	903	5	3
774	1198	5	3
560	1285	5	3
1007	1413	5	3
1398	1560	5	3
292	903	5	4
761	1500	5	4
933	1500	5	4
1232	1763	5	4
292	903	5	5
653	1422	5	5
1211	1587	5	5
1444	1594	5	5
471	981	6	2
658	1036	6	2
452	1037	6	3
852	1238	6	3
486	1227	6	4
1056	1296	6	4
1241	1395	6	4
1397	1527	6	4
549	1038	6	5
946	1219	6	5
1150	1506	6	5
357	2092	6	5
592	1222	6	6
1077	1429	6	6
376	2093	6	6
610	1287	6	7
921	1446	6	7
1703	1795	6	7
