Outlets	Modes	Supercatchment	StreamID
394	830	19	4
562	1051	19	4
794	1214	19	4
1073	1390	19	4
1268	1488	19	4
1405	1582	19	4
305	1214	19	5
987	1586	19	5
749	1608	19	5
1190	1818	19	5
1864	1993	19	5
384	1160	19	6
417	1160	19	7
290	1225	19	7
1068	1306	19	7
307	528	19	8
423	726	19	8
688	837	19	8
881	963	19	8
307	528	19	9
506	903	19	9
1130	1226	19	9
570	905	19	13
290	1225	19	13
702	1611	19	13
290	1225	19	14
705	1253	19	14
809	1307	19	14
546	1151	19	15
290	1225	19	15
712	1343	19	15
917	1566	19	15
1456	1567	19	15
1573	1663	19	15
546	1151	19	16
290	1225	19	16
894	1613	19	16
1466	1886	19	16
1764	1959	19	16
302	1225	19	17
503	1600	19	17
918	1690	19	17
1082	2040	19	17
1251	2425	19	17
1639	2804	19	17
1919	3015	19	17
2857	3196	19	17
290	1225	19	18
881	1361	19	18
731	1616	19	18
1023	2001	19	18
2021	2468	19	18
290	1225	19	19
484	1633	19	19
1318	2054	19	19
302	1225	19	20
713	1616	19	20
995	2014	19	20
1494	2652	19	20
302	1225	19	21
713	1616	19	21
869	1709	19	21
1595	1943	19	21
302	1225	19	22
713	1616	19	22
1385	1944	19	22
1072	2068	19	22
1614	2402	19	22
1916	2730	19	22
2208	2822	19	22
302	1225	19	23
713	1616	19	23
1072	2068	19	23
2015	2408	19	23
302	1225	19	24
503	1633	19	24
1044	1846	19	24
1432	2331	19	24
1710	2592	19	24
2060	2694	19	24
302	1225	19	25
480	1633	19	25
1038	1846	19	25
1171	1937	19	25
1445	2331	19	25
1702	2562	19	25
2010	2596	19	25
