Outlets	Modes	Supercatchment	StreamID
526	1105	16	2
734	1538	16	2
341	1589	16	2
865	1648	16	2
1345	1836	16	2
341	1585	16	3
1495	1743	16	3
816	1524	16	4
285	1541	16	4
561	1727	16	4
1118	1835	16	4
1736	2278	16	4
2328	2556	16	4
2446	2605	16	4
285	1541	16	7
879	1654	16	7
561	1727	16	7
1117	1860	16	7
1557	2201	16	7
2178	2417	16	7
285	1541	16	8
879	1654	16	8
569	1727	16	8
1568	2191	16	8
285	1541	16	9
564	1727	16	9
797	2157	16	9
1171	2277	16	9
2010	2624	16	9
2660	2764	16	9
285	1541	16	10
564	1727	16	10
1178	2097	16	10
797	2157	16	10
1507	2200	16	10
1785	2497	16	10
2172	2776	16	10
2777	2916	16	10
285	1541	16	11
561	1727	16	11
1185	2079	16	11
745	2157	16	11
1651	2163	16	11
1794	2346	16	11
2050	2551	16	11
2188	2628	16	11
2306	2697	16	11
2521	2799	16	11
2699	2819	16	11
